Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
epilepsysociety_co-occurrence,community,Epilepsy,,,Epilepsy Society (150),40,-10.0,epilepsysociety,Epilepsy Society,150.0,Epilepsy (150)
heart-valve-voice_co-occurrence,community,Heart Valve Voice,,,Heart Valve Voice (148),40,-11.0,heart-valve-voice,Heart Valve Voice,148.0,Heart Valve Voice (148)
haemochromatosis-uk_co-occurrence,community,Haemochromatosis UK,,,Haemochromatosis Society UK (140),40,-12.0,haemochromatosis-uk,Haemochromatosis Society UK,140.0,Haemochromatosis UK (140)
hearinglink_co-occurrence,community,Hearing Link,,,Hearing Link (137),40,-13.0,hearinglink,Hearing Link,137.0,Hearing Link (137)
quit4life_co-occurrence,community,Quit,,,Quit (133),40,-14.0,quit4life,Quit,133.0,Quit (133)
the-endometriosis-foundation_co-occurrence,community,The Endometriosis Foundation,,,The Endometriosis Foundation (131),40,-15.0,the-endometriosis-foundation,The Endometriosis Foundation,131.0,The Endometriosis Foundation (131)
youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma,,,Young Adults with Melanoma (127),40,-16.0,youngadultswithmelanoma,Young Adults with Melanoma,127.0,Young Adults with Melanoma (127)
sclc-go2_co-occurrence,community,Small Cell Lung Cancer,,,Small Cell Lung Cancer Support (123),40,-17.0,sclc-go2,Small Cell Lung Cancer Support,123.0,Small Cell Lung Cancer (123)
cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK,,,Cavernoma Alliance UK (119),40,-18.0,cavernoma-uk,Cavernoma Alliance UK,119.0,Cavernoma Alliance UK (119)
allergic-to-glycols_co-occurrence,community,Allergic to Glycols,,,Allergic to Glycols (117),40,-19.0,allergic-to-glycols,Allergic to Glycols,117.0,Allergic to Glycols (117)
adult-acne-support_co-occurrence,community,Adult Acne,,,Adult Acne Support (111),40,-20.0,adult-acne-support,Adult Acne Support,111.0,Adult Acne (111)
fpa-contraception_co-occurrence,community,FPA Contraception,,,FPA Contraception (111),40,-21.0,fpa-contraception,FPA Contraception,111.0,FPA Contraception (111)
