Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
baby-and-us_co-occurrence,community,Baby and Us,,,Baby and Us (507),50,-10.476190476190476,baby-and-us,507.0
beyond-psoriasis_co-occurrence,community,Beyond Psoriasis,,,Beyond Psoriasis (507),50,-13.095238095238097,beyond-psoriasis,507.0
migraine-support_co-occurrence,community,Migraine Support,,,Migraine Support (503),50,-15.714285714285715,migraine-support,503.0
cll-america-support_co-occurrence,community,CLL America Support,,,CLL America Support (478),50,-18.33333333333333,cll-america-support,478.0
hep-c-trust_co-occurrence,community,Hepatitis C Trust,,,Hepatitis C Trust (468),50,-20.952380952380956,hep-c-trust,468.0
differentstrokes_co-occurrence,community,Different Strokes,,,Different Strokes (467),50,-23.571428571428573,differentstrokes,467.0
bronchiectasis-support_co-occurrence,community,Bronchiectasis Support,,,Bronchiectasis Support (452),50,-26.19047619047619,bronchiectasis-support,452.0
arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure Support,,,Heart Failure Support (449),50,-28.80952380952381,arrhythmia-alliance-heart-failure,449.0
sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men,,,Sensitive Issues for Men (441),50,-31.42857142857143,sensitiveissuesmen,441.0
tb-alert_co-occurrence,community,TB Alert,,,TB Alert (419),50,-34.04761904761905,tb-alert,419.0
transplant-support_co-occurrence,community,Kidney Transplant Patient Support,,,Kidney Transplant Patient Support (395),50,-36.66666666666666,transplant-support,395.0
active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer,,,Active Surveillance - Prostate Cancer (388),50,-39.285714285714285,active-surveillance-prostate,388.0
alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's Support Group,,,Memory Health: Alzheimer's Support Group (385),50,-41.90476190476191,alzheimer-support,385.0
one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents,,,Ask Norfolk Parents (384),50,-44.523809523809526,one-norfolk-parents,384.0
melanomacaregivers_co-occurrence,community,Melanoma Caregivers,,,Melanoma Caregivers (381),50,-47.142857142857146,melanomacaregivers,381.0
brain-aneurysm-support_co-occurrence,community,Brain Aneurysm Support,,,Brain Aneurysm Support (370),50,-49.76190476190476,brain-aneurysm-support,370.0
bowel-disease-support_co-occurrence,community,Bowel Disease Support,,,Bowel Disease Support (369),50,-52.38095238095238,bowel-disease-support,369.0
actiononpain_co-occurrence,community,Action on Pain,,,Action on Pain (366),50,-55.0,actiononpain,366.0
continencesupport_co-occurrence,community,Continence Support,,,Continence Support (365),50,-57.61904761904762,continencesupport,365.0
pancreatitis-support_co-occurrence,community,Chronic Pancreatitis Support,,,Chronic Pancreatitis Support (362),50,-60.23809523809524,pancreatitis-support,362.0
fightbladdercancer_co-occurrence,community,Fight Bladder Cancer,,,Fight Bladder Cancer (360),50,-62.85714285714286,fightbladdercancer,360.0
hep-c-support_co-occurrence,community,Hepatitis C Support,,,Hepatitis C Support (359),50,-65.47619047619048,hep-c-support,359.0
arrhythmia-alliance-svt_co-occurrence,community,Supraventricular Tachycardia Support,,,Supraventricular Tachycardia Support (329),50,-68.0952380952381,arrhythmia-alliance-svt,329.0
alopeciauk_co-occurrence,community,Alopecia UK,,,Alopecia UK (312),50,-70.71428571428571,alopeciauk,312.0
diabetes-support_co-occurrence,community,Diabetes Support,,,Diabetes Support (310),50,-73.33333333333333,diabetes-support,310.0
liver4life_co-occurrence,community,Liver,,,Liver (308),50,-75.95238095238095,liver4life,308.0
pcdsupport_co-occurrence,community,PCD Family Support Group (UK),,,PCD Family Support Group (UK) (302),50,-78.57142857142857,pcdsupport,302.0
graves-disease-support_co-occurrence,community,Graves Disease Support,,,Graves Disease Support (296),50,-81.19047619047619,graves-disease-support,296.0
pbcers_co-occurrence,community,PBCers Organization,,,PBCers Organization (294),50,-83.80952380952381,pbcers,294.0
dentistry-health-support_co-occurrence,community,Dentistry Health Support,,,Dentistry Health Support (279),50,-86.42857142857143,dentistry-health-support,279.0
fight-mpn_co-occurrence,community,Fight MPN,,,Fight MPN (269),50,-89.04761904761905,fight-mpn,269.0
colostomy-care_co-occurrence,community,Living with a Stoma,,,Living with a Stoma (266),50,-91.66666666666669,colostomy-care,266.0
efa_co-occurrence,community,EFA,,,EFA (264),50,-94.28571428571428,efa,264.0
pkdcharity-autosomaldominant_co-occurrence,community,PKD Charity for Autosomal Dominant PKD,,,PKD Charity for Autosomal Dominant PKD (263),50,-96.90476190476193,pkdcharity-autosomaldominant,263.0
ukmasto_co-occurrence,community,The UK Mastocytosis Support Group,,,The UK Mastocytosis Support Group (255),50,-99.52380952380952,ukmasto,255.0
meningioma-support_co-occurrence,community,Meningioma Support,,,Meningioma Support (236),50,-102.14285714285714,meningioma-support,236.0
nkf-parents_co-occurrence,community,Parents of Children with Kidney Disease,,,Parents of Children with Kidney Disease (233),50,-104.76190476190476,nkf-parents,233.0
livingwellwithhiv_co-occurrence,community,Living Well with HIV,,,Living Well with HIV (233),50,-107.38095238095238,livingwellwithhiv,233.0
glioblastoma-support_co-occurrence,community,Glioblastoma Support,,,Glioblastoma Support (216),50,-110.0,glioblastoma-support,216.0
blog_co-occurrence,community,HealthUnlocked Blog,,,HealthUnlocked Blog (205),50,-112.61904761904762,blog,205.0
sjogrens-support_co-occurrence,community,Sjogren's Support,,,Sjogren's Support (200),50,-115.23809523809524,sjogrens-support,200.0
bws-support_co-occurrence,community,BWS Support,,,BWS Support (198),50,-117.85714285714286,bws-support,198.0
deafplus_co-occurrence,community,deafPLUS,,,deafPLUS (197),50,-120.47619047619048,deafplus,197.0
dystoniasociety_co-occurrence,community,Dystonia Society,,,Dystonia Society (195),50,-123.0952380952381,dystoniasociety,195.0
fertility-road_co-occurrence,community,"Fertility Road Mind, Body & Wellbeing",,,"Fertility Road Mind, Body & Wellbeing (191)",50,-125.71428571428572,fertility-road,191.0
adenomyosisadviceassociation_co-occurrence,community,Adenomyosis Advice Association,,,Adenomyosis Advice Association (162),50,-128.33333333333334,adenomyosisadviceassociation,162.0
epilepsysociety_co-occurrence,community,Epilepsy Society,,,Epilepsy Society (150),50,-130.95238095238096,epilepsysociety,150.0
heart-valve-voice_co-occurrence,community,Heart Valve Voice,,,Heart Valve Voice (148),50,-133.57142857142858,heart-valve-voice,148.0
haemochromatosis-uk_co-occurrence,community,Haemochromatosis Society UK,,,Haemochromatosis Society UK (140),50,-136.1904761904762,haemochromatosis-uk,140.0
hearinglink_co-occurrence,community,Hearing Link,,,Hearing Link (137),50,-138.80952380952382,hearinglink,137.0
quit4life_co-occurrence,community,Quit,,,Quit (133),50,-141.42857142857142,quit4life,133.0
the-endometriosis-foundation_co-occurrence,community,The Endometriosis Foundation,,,The Endometriosis Foundation (131),50,-144.04761904761904,the-endometriosis-foundation,131.0
youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma,,,Young Adults with Melanoma (127),50,-146.66666666666666,youngadultswithmelanoma,127.0
sclc-go2_co-occurrence,community,Small Cell Lung Cancer Support,,,Small Cell Lung Cancer Support (123),50,-149.28571428571428,sclc-go2,123.0
cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK,,,Cavernoma Alliance UK (119),50,-151.9047619047619,cavernoma-uk,119.0
allergic-to-glycols_co-occurrence,community,Allergic to Glycols,,,Allergic to Glycols (117),50,-154.52380952380952,allergic-to-glycols,117.0
adult-acne-support_co-occurrence,community,Adult Acne Support,,,Adult Acne Support (111),50,-157.14285714285714,adult-acne-support,111.0
fpa-contraception_co-occurrence,community,FPA Contraception,,,FPA Contraception (111),50,-159.76190476190476,fpa-contraception,111.0
sicklecelldisease_co-occurrence,community,Living with Sickle Cell Disease,,,Living with Sickle Cell Disease (108),50,-162.38095238095238,sicklecelldisease,108.0
fierybones-ra_co-occurrence,community,FieryBones - RA Community,,,FieryBones - RA Community (106),50,-165.0,fierybones-ra,106.0
mga_co-occurrence,community,Myasthenia Gravis Association,,,Myasthenia Gravis Association (95),50,-167.61904761904762,mga,95.0
c3g_co-occurrence,community,C,,,C (95),50,-170.23809523809524,c3g,95.0
pagets-support_co-occurrence,community,Paget’s Support,,,Paget’s Support (90),50,-172.85714285714286,pagets-support,90.0
living-with-lyme-disease-uk_co-occurrence,community,Living with Lyme Disease UK,,,Living with Lyme Disease UK (73),50,-175.47619047619048,living-with-lyme-disease-uk,73.0
endometriosis-nz_co-occurrence,community,Endometriosis New Zealand,,,Endometriosis New Zealand (69),50,-178.0952380952381,endometriosis-nz,69.0
chronic-myofascial-pain_co-occurrence,community,Chronic Myofascial Pain,,,Chronic Myofascial Pain (53),50,-180.7142857142857,chronic-myofascial-pain,53.0
living-with-ild_co-occurrence,community,Living with Interstitial Lung Disease (ILD),,,Living with Interstitial Lung Disease (ILD) (49),50,-183.33333333333331,living-with-ild,49.0
myelomauk_co-occurrence,community,Myeloma UK,,,Myeloma UK (47),50,-185.95238095238096,myelomauk,47.0
mamafit_co-occurrence,community,Mamafit,,,Mamafit (44),50,-188.57142857142856,mamafit,44.0
partnersforbehcets_co-occurrence,community,Partners for Behcet's,,,Partners for Behcet's (43),50,-191.1904761904762,partnersforbehcets,43.0
downs-support_co-occurrence,community,Down's Syndrome Support,,,Down's Syndrome Support (43),50,-193.80952380952385,downs-support,43.0
cancer-journeys-foundation_co-occurrence,community,Cancer Journeys Foundation,,,Cancer Journeys Foundation (42),50,-196.42857142857144,cancer-journeys-foundation,42.0
livernorth_co-occurrence,community,LIVErNORTH,,,LIVErNORTH (41),50,-199.04761904761904,livernorth,41.0
mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known!,,,MyDirectives: Make your medical wishes known! (40),50,-201.66666666666663,mydirectives,40.0
pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor,,,Pseudomyxoma Survivor (40),50,-204.28571428571428,pseudomyxoma-survivor,40.0
cookforyourlife_co-occurrence,community,Cook For Your Life,,,Cook For Your Life (29),50,-206.9047619047619,cookforyourlife,29.0
demo-community_co-occurrence,community,Demo Community,,,Demo Community (27),50,-209.52380952380952,demo-community,27.0
dc-action_co-occurrence,community,DC Action,,,DC Action (21),50,-212.14285714285717,dc-action,21.0
apma_co-occurrence,community,Australian Pain Management Association,,,Australian Pain Management Association (20),50,-214.7619047619048,apma,20.0
crohnscolitis_co-occurrence,community,Crohn's & Colitis,,,Crohn's & Colitis (6),50,-217.3809523809524,crohnscolitis,6.0
barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus,,,Barrett's Oesophagus (5),50,-220.0,barretts-oesophagus,5.0
